WD13CD,Ward name,Borough name,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage of households with access to:
E05000182,Northfield,Ealing,37.3,59.2,96.3,73.6,0.0,
E05000183,North Greenford,Ealing,67.2,43.6,14.5,97.9,0.0,
E05000184,Northolt Mandeville,Ealing,52.5,88.5,45.9,100.0,0.0,
E05000185,Northolt West End,Ealing,72.8,19.6,14.7,100.0,0.0,
E05000186,Norwood Green,Ealing,88.9,67.7,19.1,87.0,0.0,
E05000187,Perivale,Ealing,52.6,36.7,35.7,99.3,0.0,
E05000188,South Acton,Ealing,48.4,65.0,0.0,100.0,0.0,
E05000189,Southall Broadway,Ealing,40.7,30.3,26.7,97.9,0.0,
E05000190,Southall Green,Ealing,45.9,66.9,0.1,79.7,0.0,
E05000191,Southfield,Ealing,2.4,83.2,1.8,100.0,0.0,
E05000192,Walpole,Ealing,57.1,17.4,100.0,45.0,0.0,
E05000193,Bowes,Enfield,70.1,9.4,53.1,51.6,37.8,
E05000194,Bush Hill Park,Enfield,58.1,18.1,22.9,0.0,100.0,
E05000195,Chase,Enfield,61.5,20.3,56.4,98.9,55.1,
E05000196,Cockfosters,Enfield,54.2,21.8,76.5,94.4,0.0,
E05000197,Edmonton Green,Enfield,83.7,29.5,81.4,0.0,100.0,
E05000198,Enfield Highway,Enfield,57.7,0.0,99.8,3.1,100.0,
E05000199,Enfield Lock,Enfield,56.8,24.7,61.6,0.0,100.0,
E05000200,Grange,Enfield,34.9,13.7,65.5,10.0,61.2,
E05000201,Haselbury,Enfield,75.7,21.0,88.8,0.0,100.0,
E05000202,Highlands,Enfield,48.2,0.0,38.6,62.6,5.1,
E05000203,Jubilee,Enfield,33.7,21.8,68.7,0.0,100.0,
E05000204,Lower Edmonton,Enfield,28.1,9.9,68.4,0.0,100.0,
E05000205,Palmers Green,Enfield,29.2,42.4,51.6,0.0,68.4,
E05000206,Ponders End,Enfield,41.1,33.8,79.8,0.0,100.0,
E05000207,Southbury,Enfield,59.8,47.6,44.1,32.3,100.0,
E05000208,Southgate,Enfield,16.0,0.0,93.5,67.6,0.0,
E05000209,Southgate Green,Enfield,66.5,7.5,100.0,1.2,0.0,
E05000210,Town,Enfield,39.7,6.1,53.4,95.6,85.7,
E05000211,Turkey Street,Enfield,69.2,13.4,43.8,29.6,100.0,
E05000212,Upper Edmonton,Enfield,78.4,30.3,57.2,0.0,100.0,
E05000213,Winchmore Hill,Enfield,48.2,0.0,80.4,0.9,27.0,
E05000214,Abbey Wood,Greenwich,99.2,42.5,56.6,100.0,0.0,
E05000215,Blackheath Westcombe,Greenwich,61.4,24.1,1.7,100.0,0.0,
E05000216,Charlton,Greenwich,74.4,22.3,95.5,87.7,0.0,
E05000217,Coldharbour and New Eltham,Greenwich,69.9,60.4,44.5,16.3,0.0,
E05000218,Eltham North,Greenwich,69.1,24.4,65.7,93.6,0.0,
E05000219,Eltham South,Greenwich,92.7,6.8,73.3,93.1,0.0,
E05000220,Eltham West,Greenwich,97.9,9.7,79.0,43.9,0.0,
E05000221,Glyndon,Greenwich,77.8,43.0,72.4,37.2,0.0,
E05000222,Greenwich West,Greenwich,93.8,44.1,0.0,100.0,0.0,
E05000223,Kidbrooke with Hornfair,Greenwich,58.1,32.8,45.6,72.3,0.0,
E05000224,Middle Park and Sutcliffe,Greenwich,95.7,38.2,57.7,53.8,0.0,
E05000225,Peninsula,Greenwich,79.5,31.8,4.8,99.9,0.0,
E05000226,Plumstead,Greenwich,70.8,0.0,100.0,100.0,0.0,
E05000227,Shooters Hill,Greenwich,73.4,36.1,74.6,14.1,0.0,
