Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Blue Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Green Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,OBJECTID,Created Date,x,y
30005254,Cycling,BMX - Race Track,30009756,No,,,No,8,4,3,Concrete,No,5,8,30,8,,,,4,200,7,,30,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,1984,No,No,,No,No,,Dawn To Dusk,All Year,,,,1/6/2025 10:12:51 AM,Yes,353368,177740,51.49667,-2.673129,71,2/24/2017 10:49:23 AM,353368,177740
30005255,Cycling,BMX - Race Track,30009757,No,,,Yes,8,4,4,Concrete,No,5,8,47,6.5,,,,6,300,5,,39,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1999,Yes,Yes,2012,No,No,,Dawn To Dusk,All Year,,,,6/26/2024 8:40:45 AM,Yes,360067,182179,51.53709,-2.577133,72,2/24/2017 11:06:32 AM,360067,182179
6018320,Cycling,BMX - Pump Track,30009758,No,,,No,,,,Various,No,,,,,,,,2,100,,,,,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,2012,No,No,,No,No,,Dawn To Dusk,All Year,,,,10/18/2024 3:20:36 PM,Yes,418645,302177,52.61707,-1.726028,73,2/24/2017 11:07:46 AM,418645,302177
30005256,Cycling,BMX - Race Track,30009759,No,,,No,4,4,3,Dolomite Stone Dust,No,10,8,10,7,,,,5,280,8,,53,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,No,No,No,Yes,Yes,No,No,No,No,No,No,,2004,Yes,Yes,2009,No,No,,Dawn To Dusk,All Year,,,,6/25/2024 8:22:01 AM,Yes,513978,310473,52.68,-0.3154776,74,2/24/2017 11:11:09 AM,513978,310473
30005257,Cycling,Mountain Bike - Trails,30009760,,No,,,,,,,,,,,,,,,,,,,,,Yes,0.661,Yes,3.889,No,0,Yes,2,Yes,9.553,16.1,Operational,,,,,Registered Membership use,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,2/22/2024 1:14:30 PM,Yes,493370,234393,52.00015,-0.6413027,75,2/24/2017 11:30:54 AM,493370,234393
30005259,Cycling,BMX - Race Track,30009762,No,,,No,4,4,3,Concrete,No,4,8,45,6,,,,5,250,5,,50,6,,,,,,,,,,,,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2000,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,11/22/2023 11:48:41 AM,Yes,422968,301930,52.61469,-1.662196,76,2/24/2017 11:41:43 AM,422968,301930
30005260,Cycling,Track - Outdoor Velodrome,30009763,,,Yes,,,,,Macadam,Yes,,,,,50,26,7,7,450,,20,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Trust,Trust,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1891,No,Yes,2011,Yes,Yes,2017,Detailed Timings,All Year,,,,8/30/2023 1:05:06 PM,Yes,532781,174202,51.45124,-0.09046051,77,2/24/2017 11:45:42 AM,532781,174202
30005261,Cycling,Mountain Bike - Trails,30009764,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,No,0,No,0,0,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,1990,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,1/19/2024 2:19:02 PM,Yes,467214,136136,51.12057,-1.041,78,2/24/2017 11:45:57 AM,467214,136136
30005262,Cycling,Mountain Bike - Trails,30009765,,No,,,,,,,,,,,,,,,,,,,,,No,0,No,0,No,0,Yes,4,No,0,4,Operational,Tarmac perimeter now 100% complete. Refurbished café facilities.,,,,Free Public Access,Public Access,Other,Others,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,fleet of 30 + adapted cycles to allow all abilities to explore the nature reserve on our specially designed tarmac cycle trails,2004,No,Yes,2019,No,No,,Detailed Timings,All Year,,,,10/7/2024 7:17:44 AM,Yes,330532,553842,54.8745,-3.084115,79,2/24/2017 12:06:20 PM,330532,553842
30005263,Cycling,Track - Outdoor Velodrome,30009766,,,No,,,,,Macadam,No,,,,,50,33,5.5,7,250,,25,,,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,Yes,Yes,No,No,No,No,No,No,,2011,No,No,,Yes,No,,Dawn To Dusk,All Year,,,,2/21/2024 12:27:08 PM,Yes,407612,94144,50.74684,-1.893458,80,2/24/2017 12:07:25 PM,407612,94144
30005264,Cycling,Mountain Bike - Trails,30009767,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,1.695,No,0,No,0,Yes,1.952,3.65,Operational,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,No,No,No,No,No,No,No,No,No,No,No,,2005,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,2/16/2024 1:13:01 PM,Yes,387244,399028,53.48783,-2.193706,81,2/24/2017 12:12:14 PM,387244,399028
30005265,Cycling,BMX - Race Track,30009768,No,,,Yes,8,4,3,Various,No,8,8.5,45,9,,,,6,330,6,,40,6.5,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1984,No,Yes,2017,No,No,,Dawn To Dusk,All Year,,,,1/10/2024 2:06:21 PM,Yes,575275,225083,51.89674,0.546048,82,2/24/2017 12:14:45 PM,575275,225083
30005266,Cycling,BMX - Race Track,30009769,No,,,Yes,8,4,3,Various,No,8,9,50,8,,,,5,300,5,,58,6,,,,,,,,,,,,Operational,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,No,No,No,No,No,No,No,No,No,No,No,,1982,No,Yes,2018,No,No,,Dawn To Dusk,All Year,,,,4/17/2024 12:13:44 PM,Yes,453410,345010,52.99977,-1.205614,83,2/24/2017 12:28:59 PM,453410,345010
30005267,Cycling,Mountain Bike - Trails,30009770,,No,,,,,,,,,,,,,,,,,,,,,No,0,Yes,9.5,No,0,Yes,0.5,Yes,18,28,Operational,,,,,Free Public Access,Public Access,Other,Others,No,No,No,No,No,No,No,No,No,No,No,,2005,Yes,No,,No,No,,Dawn To Dusk,All Year,,,,1/8/2024 11:17:35 AM,Yes,374589,455985,53.99928,-2.389132,84,2/24/2017 12:29:10 PM,374589,455985
